Barrid,AAPL,C,CMG,COKE,DRI,GEF,KLAC,LULU,MELI,MP,NFLX,RMD,RSG,_ETF29
AAPL,0.06625215118593529,0.01987109585212612,0.022422084419009555,0.009795139358432944,0.015394494180464622,0.017353356861899493,0.05702493997301499,0.030330290321439423,0.020060481804755937,0.041053520435606186,0.021479043452419324,0.01997870966997342,0.011409118269806725,0.023601961738549802
C,0.019871095852126135,0.095950073504889,0.02628123932427148,0.01030982298833636,0.033818345931292626,0.04510524608956466,0.05268574010745277,0.04835977629279679,0.01910156231853842,0.07435833037781761,0.023693435612392726,0.024620861532008702,0.01663579794629976,0.029849276953078454
CMG,0.022422084419009555,0.02628123932427148,0.08775401641101865,0.01661469252492197,0.03898432239945667,0.02116195296308638,0.04670810517510532,0.04835364791196982,0.027368718428141106,0.05852613139928586,0.0238502593890104,0.030193009915277087,0.013335922005245174,0.025366793159636705
COKE,0.00979513935843295,0.010309822988336359,0.016614692524921974,0.10073709966524172,0.013366206975028615,0.010280035037372955,0.01782857909428809,0.013257402750861402,0.014648712240298744,0.01541928230965899,0.01213185852185474,0.015540249692881215,0.010231340344667212,0.01236726705820151
DRI,0.015394494180464636,0.033818345931292626,0.03898432239945668,0.013366206975028626,0.06402203586839025,0.028711856037781376,0.0351452116488375,0.046025953569482095,0.021082891984868818,0.056849515433529084,0.017654924861904852,0.026324965776821006,0.014606281663810236,0.02191988353256469
GEF,0.017353356861899493,0.04510524608956465,0.02116195296308638,0.010280035037372959,0.028711856037781366,0.08013161035237393,0.04012138423844359,0.044761636524052885,0.01598518372676414,0.06391662078253701,0.01678937512333926,0.022915248447102313,0.01596150236477395,0.023505083740280326
KLAC,0.05702493997301499,0.052685740107452785,0.04670810517510532,0.017828579094288106,0.0351452116488375,0.04012138423844359,0.1788290222543068,0.06947312431052703,0.0402601378122913,0.10936833025734591,0.04129780395545369,0.04497504590654542,0.01656892940066127,0.05012880896265606
LULU,0.030330290321439416,0.04835977629279679,0.048353647911969826,0.013257402750861399,0.0460259535694821,0.04476163652405289,0.06947312431052699,0.18658318588100842,0.03989331947616021,0.10822758980199239,0.03240029534383077,0.04329381873705357,0.01551519388760593,0.03674425832104796
MELI,0.020060481804755944,0.019101562318538417,0.027368718428141113,0.014648712240298747,0.021082891984868797,0.01598518372676414,0.040260137812291284,0.0398933194761602,0.12893145768055653,0.04378790050328683,0.021359444538728754,0.02315629329048963,0.01182180624154937,0.021831295746084937
MP,0.04105352043560622,0.07435833037781761,0.05852613139928587,0.015419282309658987,0.05684951543352906,0.06391662078253706,0.10936833025734591,0.10822758980199244,0.04378790050328683,0.3364230932436654,0.0412960523666938,0.06026505395088659,0.01878044259398561,0.05260866236156472
NFLX,0.021479043452419334,0.023693435612392722,0.023850259389010395,0.012131858521854742,0.017654924861904838,0.01678937512333926,0.04129780395545367,0.032400295343830765,0.021359444538728758,0.041296052366693786,0.10521182792321376,0.02128195472708878,0.01065008374382328,0.021786168302865516
RMD,0.019978709669973428,0.02462086153200869,0.030193009915277094,0.015540249692881213,0.026324965776821006,0.022915248447102313,0.04497504590654541,0.043293818737053576,0.023156293290489634,0.06026505395088658,0.021281954727088773,0.10376791590646275,0.01266717249083905,0.02423487324286565
RSG,0.011409118269806723,0.016635797946299748,0.013335922005245174,0.010231340344667213,0.014606281663810223,0.015961502364773957,0.016568929400661254,0.015515193887605923,0.011821806241549365,0.0187804425939856,0.010650083743823278,0.012667172490839054,0.03135338422745931,0.012786279023766719
_ETF29,0.023601961738549816,0.029849276953078447,0.025366793159636716,0.012367267058201521,0.02191988353256469,0.023505083740280337,0.050128808962656035,0.03674425832104797,0.021831295746084944,0.05260866236156476,0.021786168302865522,0.02423487324286566,0.012786279023766738,0.025059486195710197
