AAPL,C,CMG,COKE,DRI,KLAC,MP,MTN,NFLX,GEF,RSG,_ETF29
0.066223,0.021693,0.019139,0.012855,0.016971,0.045822,0.050579,0.028011,0.024211,0.021417,0.011764,0.025473
0.021693,0.094066,0.018357,0.012294,0.028692,0.034565,0.066176,0.048799,0.025784,0.041188,0.015395,0.029396
0.019139,0.018357,0.069164,0.016344,0.031006,0.033433,0.038168,0.032852,0.025877,0.013959,0.013763,0.02224
0.012855,0.012294,0.016344,0.111396,0.015362,0.021428,0.024784,0.017683,0.01566,0.015072,0.01172,0.015285
0.016971,0.028692,0.031006,0.015362,0.0541,0.027188,0.045185,0.040054,0.019921,0.023303,0.014767,0.021559
0.045822,0.034565,0.033433,0.021428,0.027188,0.131522,0.080148,0.04737,0.039233,0.028484,0.016177,0.040736
0.050579,0.066176,0.038168,0.024784,0.045185,0.080148,0.332083,0.08939,0.052683,0.061946,0.014247,0.0556
0.028011,0.048799,0.032852,0.017683,0.040054,0.04737,0.08939,0.120935,0.032193,0.039318,0.016052,0.034572
0.024211,0.025784,0.025877,0.01566,0.019921,0.039233,0.052683,0.032193,0.136735,0.017499,0.010921,0.026648
0.021417,0.041188,0.013959,0.015072,0.023303,0.028484,0.061946,0.039318,0.017499,0.085402,0.014079,0.024153
0.011764,0.015395,0.013763,0.01172,0.014767,0.016177,0.014247,0.016052,0.010921,0.014079,0.03136,0.013123
0.025473,0.029396,0.02224,0.015285,0.021559,0.040736,0.0556,0.034572,0.026648,0.024153,0.013123,0.02697
